TeamId,TeamName,SubmissionDate,Score
3128648,CarpeDiem,"2019-05-06 13:12:05",0.69888
3128648,CarpeDiem,"2019-05-06 14:28:01",0.72441
3129122,caia,"2019-05-07 07:25:00",0.70022
3129122,caia,"2019-05-07 07:30:20",0.75228
3129206,bylone,"2019-05-07 12:56:50",0.76346
3133468,"vegetable is good","2019-05-07 14:08:40",0.59151
3128649,lry2016011396,"2019-05-08 01:19:00",0.62794
3128648,CarpeDiem,"2019-05-08 04:12:11",0.74440
3129122,caia,"2019-05-08 10:57:10",0.77844
3128649,lry2016011396,"2019-05-08 11:21:44",0.63795
3129207,Loser,"2019-05-08 12:51:33",0.75341
3128649,lry2016011396,"2019-05-08 13:32:55",0.65081
3129482,lyh2016011372,"2019-05-08 13:41:53",0.65081
3141984,CoderMan,"2019-05-08 14:35:06",0.71264
3135471,Arsenalahm,"2019-05-08 14:54:50",0.75356
3129482,lyh2016011372,"2019-05-08 15:00:51",0.65136
3129207,Loser,"2019-05-08 15:06:31",0.76496
3141343,Euxcet,"2019-05-08 15:11:39",0.50000
3135471,Arsenalahm,"2019-05-08 15:16:42",0.77948
3141984,CoderMan,"2019-05-08 15:19:21",0.75475
3142385,geekjuruo,"2019-05-08 15:25:20",0.58849
3142483,"i am your man","2019-05-08 15:44:20",0.59690
3135471,Arsenalahm,"2019-05-08 15:56:34",0.78895
3142483,"i am your man","2019-05-08 16:06:46",0.66745
3128649,lry2016011396,"2019-05-09 00:09:42",0.75475
3142385,geekjuruo,"2019-05-09 00:11:30",0.73054
3135471,Arsenalahm,"2019-05-09 00:35:45",0.79474
3133468,"vegetable is good","2019-05-09 02:03:13",0.67455
3129482,lyh2016011372,"2019-05-09 02:37:28",0.73918
3136198,"Zalmon Ye","2019-05-09 02:51:16",0.67108
3141343,Euxcet,"2019-05-09 04:31:15",0.52427
3141343,Euxcet,"2019-05-09 04:51:09",0.76294
3141343,Euxcet,"2019-05-09 05:43:46",0.77681
3129482,lyh2016011372,"2019-05-09 06:18:22",0.74976
3145027,liyinghuihhh,"2019-05-09 09:26:13",0.50000
3140360,xjk2017011337,"2019-05-09 10:19:46",0.56954
3128664,wangc2016011360,"2019-05-09 16:04:06",0.52888
3140067,justname,"2019-05-09 18:43:53",0.75163
3145027,liyinghuihhh,"2019-05-10 01:56:04",0.72016
3135471,Arsenalahm,"2019-05-10 01:57:12",0.79568
3128664,wangc2016011360,"2019-05-10 02:03:08",0.53633
3128664,wangc2016011360,"2019-05-10 02:07:03",0.54776
3128664,wangc2016011360,"2019-05-10 02:08:29",0.67723
3142483,"i am your man","2019-05-10 03:44:15",0.67888
3136198,"Zalmon Ye","2019-05-10 06:07:15",0.69318
3148825,jixiaobao,"2019-05-10 06:08:23",0.74969
3136198,"Zalmon Ye","2019-05-10 07:26:00",0.76334
3136198,"Zalmon Ye","2019-05-10 08:09:47",0.78509
3129768,纳豆味草莓牛奶分类器,"2019-05-10 08:25:57",0.68966
3129768,纳豆味草莓牛奶分类器,"2019-05-10 12:31:49",0.78565
3150560,nidayehhh,"2019-05-10 13:52:54",0.70329
3150560,nidayehhh,"2019-05-10 14:03:14",0.70614
3133468,"vegetable is good","2019-05-10 15:17:17",0.72335
3133468,"vegetable is good","2019-05-10 15:39:41",0.72533
3129207,Loser,"2019-05-11 01:01:37",0.77309
3136198,"Zalmon Ye","2019-05-11 02:11:01",0.80367
